									Percentile	Global Written	Global Read	Temp Written	Temp Read
									20	43	28	0	0
									50	"26,434"	"12,310"	"3,621"	"5,270"
									90	"5,189,312"	"3,664,867"	"2,335,200"	"3,109,876"
									99	"109,872,552"	"104,301,900"	"48,835,649"	"57,291,349"
									99.9	"723,635,551"	"719,054,918"	"272,325,283"	"355,459,219"
									99.99	"2,870,992,194"	"2,870,710,332"	"2,095,380,984"	"2,121,207,419"
													
													
									Max	"4,744,884,684"	"4,743,848,299"	" 2,876,545,372 "	" 2,578,337,402 "
													
													
													
													
													
													
VC	Job	Total Read	Total Temp Read	Total Global Read	Total Written	Total Temp Written	Total Global Written						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-16_Job	3.792321	2.645531	1.14679	3.792321	2.366038	1.426283						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-17_Job	5.671523	4.333514	1.338009	5.671523	3.681707	1.989816						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-18_Job	2.920614	1.796562	1.124052	2.920614	1.597111	1.323503						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-19_Job	2.928782	1.860588	1.068194	2.928782	1.777452	1.15133						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-20_Job	1.127749	0.736944	0.390805	1.127749	0.736944	0.390805						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-21_Job	0.897519	0.570226	0.327293	0.897519	0.570226	0.327293						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-22_Job	0.968904	0.637755	0.331149	0.968904	0.60269	0.366214						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-23_Job	0.85843	0.565359	0.293071	0.85843	0.565359	0.293071						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-00_Job	0.689681	0.442546	0.247135	0.689681	0.440215	0.249466						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-01_Job	0.616293	0.401578	0.214715	0.616293	0.401578	0.214715						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-02_Job	0.551438	0.359596	0.191842	0.551438	0.359596	0.191842						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-03_Job	0.505797	0.332716	0.173081	0.505797	0.332716	0.173081						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-04_Job	0.524389	0.356155	0.168234	0.524389	0.347081	0.177308						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-05_Job	0.424317	0.297864	0.126453	0.424317	0.294015	0.130302						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-06_Job	0.415703	0.300768	0.114935	0.415703	0.274431	0.141272						
